5,10,18,F,10.0,-1.0,F
9,13,18,R,7.230769230769231,-1.0,R
11,13,15,R,7.230769230769231,-1.0,R
11,14,15,R,7.428571428571429,3.0,R
15,14,17,R,6.714285714285714,3.0,R
13,14,16,R,8.357142857142858,3.0,R
12,14,17,R,9.714285714285714,3.4,R
14,14,16,R,9.857142857142858,3.4,R
15,15,18,R,9.933333333333334,4.166666666666667,R
14,16,17,R,10.625,4.166666666666667,R
13,18,18,R,10.555555555555555,4.166666666666667,R
14,19,16,R,10.210526315789474,4.166666666666667,R
12,21,15,R,10.142857142857142,4.166666666666667,R
12,23,14,R,9.608695652173912,4.166666666666667,R
10,23,12,R,10.304347826086957,4.166666666666667,R
10,25,13,R,9.76,4.285714285714286,R
11,28,16,F,8.714285714285714,4.375,R
13,30,12,R,7.9,4.375,R
9,32,10,R,8.09375,6.2727272727272725,R
10,34,10,R,7.294117647058823,6.2727272727272725,R
11,36,12,R,6.5,6.166666666666667,R
